id,日付,所在地,河川名,観測所名,管理者名,はん濫危険水位,避難判断水位,はん濫注意水位,水防団待機水位,geo3x3,url
12,2021-08-14,福井市朝谷町,足羽川,朝谷,福井土木,4.70,3.90,2.50,1.20,E9138811978237,http://ame.pref.fukui.jp/bousai/servlet/bousaiweb.servletBousaiGraph?unq=12171482154&sb2=1&mnflg=0&tmgo=&vo=0&mty=0&rk=1&og11=0&og10=0&og9=0&og8=0&og7=0&og6=0&og5=0&og4=0&og3=0&og2=0&og1=0&ost=0&omp=0&gm=0&go=0&gc=0&gw=0&gl=0&gn=0&gk5=0&gk4=0&gk3=0&gk2=0&gk1=0&gk=0&ga=4&sb=1&tk=0&tsw=0&tsk=0&it=0&st=0&cn=0&fn=0&tvm=0&vm=0&pg=1&sn=12&tm=000101010000&nw=1&no=0&mp=0&dk=2&sv=1&sb1=1&lod=0&nwg=1&tmg=202108140900&wsl=0&wl=1&rg=1&sy=gra_river
13,2021-08-14,福井市江端町,江端川,江端,福井土木,5.14,4.36,2.62,1.70,E9138735399424,http://ame.pref.fukui.jp/bousai/servlet/bousaiweb.servletBousaiGraph?unq=12171482154&sb2=1&mnflg=0&tmgo=&vo=0&mty=0&rk=1&og11=0&og10=0&og9=0&og8=0&og7=0&og6=0&og5=0&og4=0&og3=0&og2=0&og1=0&ost=0&omp=0&gm=0&go=0&gc=0&gw=0&gl=0&gn=0&gk5=0&gk4=0&gk3=0&gk2=0&gk1=0&gk=0&ga=4&sb=1&tk=0&tsw=0&tsk=0&it=0&st=0&cn=0&fn=0&tvm=0&vm=0&pg=1&sn=13&tm=000101010000&nw=1&no=0&mp=0&dk=2&sv=1&sb1=1&lod=0&nwg=1&tmg=202108140900&wsl=0&wl=1&rg=1&sy=gra_river
14,2021-08-14,福井市若杉,狐川,若杉,福井土木,5.10,--- ,3.70,2.90,E9138735826614,http://ame.pref.fukui.jp/bousai/servlet/bousaiweb.servletBousaiGraph?unq=12171482154&sb2=1&mnflg=0&tmgo=&vo=0&mty=0&rk=1&og11=0&og10=0&og9=0&og8=0&og7=0&og6=0&og5=0&og4=0&og3=0&og2=0&og1=0&ost=0&omp=0&gm=0&go=0&gc=0&gw=0&gl=0&gn=0&gk5=0&gk4=0&gk3=0&gk2=0&gk1=0&gk=0&ga=4&sb=1&tk=0&tsw=0&tsk=0&it=0&st=0&cn=0&fn=0&tvm=0&vm=0&pg=1&sn=14&tm=000101010000&nw=1&no=0&mp=0&dk=2&sv=1&sb1=1&lod=0&nwg=1&tmg=202108140900&wsl=0&wl=1&rg=1&sy=gra_river
15,2021-08-14,福井市文京5丁目,底喰川,上里,福井土木,5.15,--- ,3.80,3.30,E9138735986377,http://ame.pref.fukui.jp/bousai/servlet/bousaiweb.servletBousaiGraph?unq=12171482154&sb2=1&mnflg=0&tmgo=&vo=0&mty=0&rk=1&og11=0&og10=0&og9=0&og8=0&og7=0&og6=0&og5=0&og4=0&og3=0&og2=0&og1=0&ost=0&omp=0&gm=0&go=0&gc=0&gw=0&gl=0&gn=0&gk5=0&gk4=0&gk3=0&gk2=0&gk1=0&gk=0&ga=4&sb=1&tk=0&tsw=0&tsk=0&it=0&st=0&cn=0&fn=0&tvm=0&vm=0&pg=1&sn=15&tm=000101010000&nw=1&no=0&mp=0&dk=2&sv=1&sb1=1&lod=0&nwg=1&tmg=202108140900&wsl=0&wl=1&rg=1&sy=gra_river
16,2021-08-14,福井市上野本町,芳野川,上森田,福井土木,8.08,--- ,7.00,6.30,E9138739426977,http://ame.pref.fukui.jp/bousai/servlet/bousaiweb.servletBousaiGraph?unq=12171482154&sb2=1&mnflg=0&tmgo=&vo=0&mty=0&rk=1&og11=0&og10=0&og9=0&og8=0&og7=0&og6=0&og5=0&og4=0&og3=0&og2=0&og1=0&ost=0&omp=0&gm=0&go=0&gc=0&gw=0&gl=0&gn=0&gk5=0&gk4=0&gk3=0&gk2=0&gk1=0&gk=0&ga=4&sb=1&tk=0&tsw=0&tsk=0&it=0&st=0&cn=0&fn=0&tvm=0&vm=0&pg=1&sn=16&tm=000101010000&nw=1&no=0&mp=0&dk=2&sv=1&sb1=1&lod=0&nwg=1&tmg=202108140900&wsl=0&wl=1&rg=1&sy=gra_river
17,2021-08-14,福井市安保町,朝六ツ川,安保（朝六ツ川）,福井土木,8.20,--- ,7.20,6.80,E9138735318561,http://ame.pref.fukui.jp/bousai/servlet/bousaiweb.servletBousaiGraph?unq=12171482154&sb2=1&mnflg=0&tmgo=&vo=0&mty=0&rk=1&og11=0&og10=0&og9=0&og8=0&og7=0&og6=0&og5=0&og4=0&og3=0&og2=0&og1=0&ost=0&omp=0&gm=0&go=0&gc=0&gw=0&gl=0&gn=0&gk5=0&gk4=0&gk3=0&gk2=0&gk1=0&gk=0&ga=4&sb=1&tk=0&tsw=0&tsk=0&it=0&st=0&cn=0&fn=0&tvm=0&vm=0&pg=1&sn=17&tm=000101010000&nw=1&no=0&mp=0&dk=2&sv=1&sb1=1&lod=0&nwg=1&tmg=202108140900&wsl=0&wl=1&rg=1&sy=gra_river
22,2021-08-14,坂井市坂井町長屋32,田島川,長屋,三国土木,4.20,--- ,3.20,2.50,E9138763247979,http://ame.pref.fukui.jp/bousai/servlet/bousaiweb.servletBousaiGraph?unq=12171482154&sb2=1&mnflg=0&tmgo=&vo=0&mty=0&rk=1&og11=0&og10=0&og9=0&og8=0&og7=0&og6=0&og5=0&og4=0&og3=0&og2=0&og1=0&ost=0&omp=0&gm=0&go=0&gc=0&gw=0&gl=0&gn=0&gk5=0&gk4=0&gk3=0&gk2=0&gk1=0&gk=0&ga=4&sb=1&tk=0&tsw=0&tsk=0&it=0&st=0&cn=0&fn=0&tvm=0&vm=0&pg=1&sn=22&tm=000101010000&nw=1&no=0&mp=0&dk=2&sv=1&sb1=1&lod=0&nwg=1&tmg=202108140900&wsl=0&wl=1&rg=1&sy=gra_river
23,2021-08-14,坂井市春江町井向22,兵庫川,下兵庫,三国土木,3.50,3.30,3.10,2.60,E9138762319572,http://ame.pref.fukui.jp/bousai/servlet/bousaiweb.servletBousaiGraph?unq=12171482154&sb2=1&mnflg=0&tmgo=&vo=0&mty=0&rk=1&og11=0&og10=0&og9=0&og8=0&og7=0&og6=0&og5=0&og4=0&og3=0&og2=0&og1=0&ost=0&omp=0&gm=0&go=0&gc=0&gw=0&gl=0&gn=0&gk5=0&gk4=0&gk3=0&gk2=0&gk1=0&gk=0&ga=4&sb=1&tk=0&tsw=0&tsk=0&it=0&st=0&cn=0&fn=0&tvm=0&vm=0&pg=1&sn=23&tm=000101010000&nw=1&no=0&mp=0&dk=2&sv=1&sb1=1&lod=0&nwg=1&tmg=202108140900&wsl=0&wl=1&rg=1&sy=gra_river
24,2021-08-14,あわら市矢地1,竹田川,矢地,三国土木,5.80,--- ,5.00,4.00,E9138763469427,http://ame.pref.fukui.jp/bousai/servlet/bousaiweb.servletBousaiGraph?unq=12171482154&sb2=1&mnflg=0&tmgo=&vo=0&mty=0&rk=1&og11=0&og10=0&og9=0&og8=0&og7=0&og6=0&og5=0&og4=0&og3=0&og2=0&og1=0&ost=0&omp=0&gm=0&go=0&gc=0&gw=0&gl=0&gn=0&gk5=0&gk4=0&gk3=0&gk2=0&gk1=0&gk=0&ga=4&sb=1&tk=0&tsw=0&tsk=0&it=0&st=0&cn=0&fn=0&tvm=0&vm=0&pg=1&sn=24&tm=000101010000&nw=1&no=0&mp=0&dk=2&sv=1&sb1=1&lod=0&nwg=1&tmg=202108140900&wsl=0&wl=1&rg=1&sy=gra_river
25,2021-08-14,坂井市丸岡町里竹田28,竹田川,里竹田,三国土木,4.00,--- ,3.00,2.50,E9138763258353,http://ame.pref.fukui.jp/bousai/servlet/bousaiweb.servletBousaiGraph?unq=12171482154&sb2=1&mnflg=0&tmgo=&vo=0&mty=0&rk=1&og11=0&og10=0&og9=0&og8=0&og7=0&og6=0&og5=0&og4=0&og3=0&og2=0&og1=0&ost=0&omp=0&gm=0&go=0&gc=0&gw=0&gl=0&gn=0&gk5=0&gk4=0&gk3=0&gk2=0&gk1=0&gk=0&ga=4&sb=1&tk=0&tsw=0&tsk=0&it=0&st=0&cn=0&fn=0&tvm=0&vm=0&pg=1&sn=25&tm=000101010000&nw=1&no=0&mp=0&dk=2&sv=1&sb1=1&lod=0&nwg=1&tmg=202108140900&wsl=0&wl=1&rg=1&sy=gra_river
26,2021-08-14,あわら市市姫2,竹田川,六日,三国土木,5.20,4.60,4.00,3.50,E9138763724456,http://ame.pref.fukui.jp/bousai/servlet/bousaiweb.servletBousaiGraph?unq=12171482154&sb2=1&mnflg=0&tmgo=&vo=0&mty=0&rk=1&og11=0&og10=0&og9=0&og8=0&og7=0&og6=0&og5=0&og4=0&og3=0&og2=0&og1=0&ost=0&omp=0&gm=0&go=0&gc=0&gw=0&gl=0&gn=0&gk5=0&gk4=0&gk3=0&gk2=0&gk1=0&gk=0&ga=4&sb=1&tk=0&tsw=0&tsk=0&it=0&st=0&cn=0&fn=0&tvm=0&vm=0&pg=1&sn=26&tm=000101010000&nw=1&no=0&mp=0&dk=2&sv=1&sb1=1&lod=0&nwg=1&tmg=202108140900&wsl=0&wl=1&rg=1&sy=gra_river
27,2021-08-14,坂井市三国町楽円３,竹田川,岩崎(金井),三国土木,3.70,--- ,3.00,2.60,E9138762494252,http://ame.pref.fukui.jp/bousai/servlet/bousaiweb.servletBousaiGraph?unq=12171482154&sb2=1&mnflg=0&tmgo=&vo=0&mty=0&rk=1&og11=0&og10=0&og9=0&og8=0&og7=0&og6=0&og5=0&og4=0&og3=0&og2=0&og1=0&ost=0&omp=0&gm=0&go=0&gc=0&gw=0&gl=0&gn=0&gk5=0&gk4=0&gk3=0&gk2=0&gk1=0&gk=0&ga=4&sb=1&tk=0&tsw=0&tsk=0&it=0&st=0&cn=0&fn=0&tvm=0&vm=0&pg=1&sn=27&tm=000101010000&nw=1&no=0&mp=0&dk=2&sv=1&sb1=1&lod=0&nwg=1&tmg=202108140900&wsl=0&wl=1&rg=1&sy=gra_river
28,2021-08-14,坂井市春江町安沢24,磯部川,安沢橋(石塚),三国土木,4.50,--- ,3.70,3.20,E9138738829374,http://ame.pref.fukui.jp/bousai/servlet/bousaiweb.servletBousaiGraph?unq=12171482154&sb2=1&mnflg=0&tmgo=&vo=0&mty=0&rk=1&og11=0&og10=0&og9=0&og8=0&og7=0&og6=0&og5=0&og4=0&og3=0&og2=0&og1=0&ost=0&omp=0&gm=0&go=0&gc=0&gw=0&gl=0&gn=0&gk5=0&gk4=0&gk3=0&gk2=0&gk1=0&gk=0&ga=4&sb=1&tk=0&tsw=0&tsk=0&it=0&st=0&cn=0&fn=0&tvm=0&vm=0&pg=1&sn=28&tm=000101010000&nw=1&no=0&mp=0&dk=2&sv=1&sb1=1&lod=0&nwg=1&tmg=202108140900&wsl=0&wl=1&rg=1&sy=gra_river
29,2021-08-14,坂井市丸岡町上竹田,竹田川,平岩,龍ヶ鼻・永平寺ダム統管,3.90,--- ,3.30,3.00,E9138841213215,http://ame.pref.fukui.jp/bousai/servlet/bousaiweb.servletBousaiGraph?unq=12171482154&sb2=1&mnflg=0&tmgo=&vo=0&mty=0&rk=1&og11=0&og10=0&og9=0&og8=0&og7=0&og6=0&og5=0&og4=0&og3=0&og2=0&og1=0&ost=0&omp=0&gm=0&go=0&gc=0&gw=0&gl=0&gn=0&gk5=0&gk4=0&gk3=0&gk2=0&gk1=0&gk=0&ga=4&sb=1&tk=0&tsw=0&tsk=0&it=0&st=0&cn=0&fn=0&tvm=0&vm=0&pg=1&sn=29&tm=000101010000&nw=1&no=0&mp=0&dk=2&sv=1&sb1=1&lod=0&nwg=1&tmg=202108140900&wsl=0&wl=1&rg=1&sy=gra_river
