日時,河川水位,id
2024-08-08T00:20,1.26,1
2024-08-08T00:20,1.39,2
2024-08-08T00:20,0.58,3
2024-08-08T00:20,0.66,4
2024-08-08T00:20,0.52,5
2024-08-08T00:20,0.58,6
2024-08-08T00:20,4.09,7
2024-08-08T00:20,2.06,8
2024-08-08T00:20,0.26,9
2024-08-08T00:20,0.10,10
2024-08-08T00:20,0.02,12
2024-08-08T00:20,0.52,13
2024-08-08T00:20,1.99,14
2024-08-08T00:20,2.52,15
2024-08-08T00:20,5.97,16
2024-08-08T00:20,6.48,17
2024-08-08T00:20,0.96,22
2024-08-08T00:20,0.28,23
2024-08-08T00:20,1.07,24
2024-08-08T00:20,0.38,25
2024-08-08T00:20,0.70,26
2024-08-08T00:20,0.52,27
2024-08-08T00:20,0.65,28
2024-08-07T24:00,0.36,29
2024-08-07T24:00,0.60,30
2024-08-07T24:00,0.73,31
2024-08-07T24:00,0.79,32
2024-08-08T00:20,0.00,43
2024-08-08T00:20,1.05,45
2024-08-08T00:20,0.37,46
2024-08-08T00:20,0.96,47
2024-08-08T00:20,0.50,48
2024-08-07T24:00,4.60,49
2024-08-07T24:00,0.97,51
2024-08-08T00:20,0.94,62
2024-08-08T00:20,0.41,63
2024-08-08T00:20,0.35,64
2024-08-08T00:20,0.17,65
2024-08-08T00:20,0.13,66
2024-08-08T00:20,6.48,74
2024-08-08T00:20,0.42,75
2024-08-08T00:20,0.69,76
2024-08-08T00:20,0.25,77
2024-08-08T00:20,6.49,78
2024-08-08T00:20,0.25,79
2024-08-08T00:20,0.71,80
2024-08-08T00:20,6.99,81
2024-08-08T00:20,6.70,82
2024-08-08T00:20,6.76,83
2024-08-08T00:20,0.58,88
2024-08-08T00:20,0.26,89
2024-08-08T00:20,0.48,90
2024-08-08T00:20,0.21,91
2024-08-08T00:20,0.22,92
2024-08-08T00:20,0.55,93
2024-08-08T00:20,349.76,95
2024-08-08T00:20,0.12,96
2024-08-08T00:20,0.42,97
2024-08-08T00:20,1.26,107
2024-08-08T00:20,0.20,108
2024-08-08T00:20,0.68,109
2024-08-08T00:20,1.19,110
2024-08-08T00:20,0.42,111
2024-08-08T00:20,0.43,121
2024-08-08T00:20,0.32,122
2024-08-08T00:20,0.64,124
2024-08-08T00:20,0.47,134
2024-08-08T00:20,0.14,135
2024-08-08T00:20,0.20,136
2024-08-08T00:20,0.88,137
2024-08-08T00:20,0.64,138
2024-08-08T00:20,0.04,139
2024-08-08T00:20,0.54,140
2024-08-08T00:20,0.53,141
2024-08-08T00:20,0.99,150
2024-08-08T00:20,0.14,151
2024-08-08T00:20,0.89,152
2024-08-07T24:00,*,153
2024-08-08T00:20,1.84,154
2024-08-08T00:20,0.28,155
2024-08-08T00:20,0.82,156
2024-08-08T00:20,1.00,157
2024-08-08T00:20,0.08,158
2024-08-07T24:00,,170
2024-08-08T00:20,458.02,171
2024-08-08T00:20,0.00,172
2024-08-08T00:20,1.05,174
2024-08-08T00:20,568.86,176
2024-08-08T00:20,0.95,179
2024-08-08T00:20,1.03,180
2024-08-08T00:20,2.43,205
2024-08-08T00:20,0.46,206
2024-08-08T00:20,1.29,207
2024-08-08T00:20,1.29,208
2024-08-08T00:20,0.45,209
2024-08-07T24:00,,210
2024-08-08T00:20,0.46,211
2024-08-08T00:20,0.75,212
2024-08-08T00:20,0.52,213
2024-08-08T00:20,0.11,215
2024-08-08T00:20,1.23,216
2024-08-08T00:20,3.30,217
2024-08-08T00:20,0.43,221
2024-08-07T24:00,0.21,251
2024-08-07T24:00,0.54,252
