日時,河川水位,id
2021-08-26T00:10,1.03,1
2021-08-26T00:10,1.30,2
2021-08-26T00:10,0.80,3
2021-08-26T00:10,0.89,4
2021-08-26T00:10,0.63,5
2021-08-26T00:10,0.65,6
2021-08-26T00:10,4.06,7
2021-08-26T00:10,2.14,8
2021-08-26T00:10,0.51,9
2021-08-26T00:10,0.19,10
2021-08-26T00:10,0.12,12
2021-08-26T00:10,0.44,13
2021-08-26T00:10,1.94,14
2021-08-26T00:10,2.65,15
2021-08-26T00:10,5.86,16
2021-08-26T00:10,6.52,17
2021-08-26T00:10,1.05,22
2021-08-26T00:10,0.23,23
2021-08-26T00:10,1.35,24
2021-08-26T00:10,0.49,25
2021-08-26T00:10,0.92,26
2021-08-26T00:10,0.58,27
2021-08-26T00:10,0.83,28
2021-08-25T24:00,0.53,29
2021-08-25T24:00,0.76,30
2021-08-25T24:00,0.84,31
2021-08-25T24:00,0.95,32
2021-08-26T00:10,0.25,43
2021-08-26T00:10,1.23,45
2021-08-26T00:10,0.74,46
2021-08-26T00:10,1.18,47
2021-08-26T00:10,0.33,48
2021-08-25T24:00,4.53,49
2021-08-25T24:00,1.25,51
2021-08-26T00:10,1.34,62
2021-08-26T00:10,0.73,63
2021-08-26T00:10,0.49,64
2021-08-26T00:10,0.30,65
2021-08-26T00:10,0.17,66
2021-08-26T00:10,6.59,74
2021-08-26T00:10,0.87,75
2021-08-26T00:10,0.76,76
2021-08-26T00:10,0.52,77
2021-08-26T00:10,6.58,78
2021-08-26T00:10,0.28,79
2021-08-26T00:10,0.81,80
2021-08-26T00:10,7.02,81
2021-08-26T00:10,6.65,82
2021-08-26T00:10,6.71,83
2021-08-26T00:10,1.15,88
2021-08-26T00:10,0.15,89
2021-08-26T00:10,0.65,90
2021-08-25T24:00,*,91
2021-08-26T00:10,0.47,92
2021-08-26T00:10,0.85,93
2021-08-26T00:10,349.73,95
2021-08-26T00:10,0.12,96
2021-08-26T00:10,0.00,97
2021-08-26T00:10,1.29,107
2021-08-26T00:10,0.25,108
2021-08-26T00:10,0.70,109
2021-08-26T00:10,1.12,110
2021-08-26T00:10,0.40,111
2021-08-26T00:10,0.26,121
2021-08-26T00:10,0.71,122
2021-08-26T00:10,0.08,124
2021-08-26T00:10,0.74,134
2021-08-26T00:10,0.06,135
2021-08-26T00:10,0.04,136
2021-08-26T00:10,0.94,137
2021-08-26T00:10,0.71,138
2021-08-26T00:10,0.03,139
2021-08-26T00:10,0.62,140
2021-08-26T00:10,0.64,141
2021-08-26T00:10,1.04,150
2021-08-26T00:10,0.03,151
2021-08-26T00:10,0.92,152
2021-08-26T00:10,1.24,153
2021-08-26T00:10,2.04,154
2021-08-26T00:10,0.16,155
2021-08-26T00:10,0.82,156
2021-08-26T00:10,1.07,157
2021-08-26T00:10,0.01,158
2021-08-26T00:10,553.97,170
2021-08-26T00:10,459.01,171
2021-08-26T00:10,0.20,172
2021-08-26T00:10,0.92,174
2021-08-26T00:10,569.96,176
2021-08-26T00:10,1.03,179
2021-08-26T00:10,1.26,180
2021-08-26T00:10,1.62,205
2021-08-26T00:10,0.89,206
2021-08-26T00:10,1.42,207
2021-08-26T00:10,0.93,208
2021-08-26T00:10,0.64,209
2021-08-26T00:10,1.31,210
2021-08-26T00:10,0.61,211
2021-08-26T00:10,0.92,212
2021-08-26T00:10,0.62,213
2021-08-26T00:10,0.02,215
2021-08-26T00:10,1.26,216
2021-08-26T00:10,3.56,217
2021-08-26T00:10,0.60,221
2021-08-26T00:20,0.19,10
2021-08-26T00:20,0.49,64
2021-08-26T00:20,0.30,65
2021-08-26T00:20,0.17,66
2021-08-26T00:20,349.73,95
2021-08-26T00:20,0.01,158
2021-08-26T00:20,1.62,205
2021-08-26T00:20,0.90,206
2021-08-26T00:20,1.42,207
2021-08-26T00:20,0.93,208
2021-08-26T00:20,0.64,209
2021-08-26T00:20,1.32,210
2021-08-26T00:20,0.62,211
2021-08-26T00:20,0.92,212
2021-08-26T00:20,0.60,213
2021-08-26T00:20,0.02,215
2021-08-26T00:20,1.26,216
2021-08-26T00:20,3.56,217
2021-08-26T00:20,0.60,221
2021-08-26T00:20,1.14,88
2021-08-26T00:20,0.15,89
2021-08-26T00:20,0.64,90
2021-08-26T00:20,0.45,92
2021-08-26T00:20,0.85,93
2021-08-26T00:20,0.12,96
2021-08-26T00:20,0.00,97
2021-08-26T00:20,1.29,107
2021-08-26T00:20,0.25,108
2021-08-26T00:20,0.70,109
2021-08-26T00:20,1.11,110
2021-08-26T00:20,0.40,111
2021-08-26T00:20,1.04,150
2021-08-26T00:20,0.03,151
2021-08-26T00:20,0.92,152
2021-08-26T00:20,1.24,153
2021-08-26T00:20,2.04,154
2021-08-26T00:20,0.15,155
2021-08-26T00:20,0.82,156
2021-08-26T00:20,1.07,157
2021-08-26T00:20,1.04,22
2021-08-26T00:20,0.23,23
2021-08-26T00:20,1.35,24
2021-08-26T00:20,0.49,25
2021-08-26T00:20,0.92,26
2021-08-26T00:20,0.55,27
2021-08-26T00:20,0.83,28
2021-08-26T00:20,0.26,43
2021-08-26T00:20,1.23,45
2021-08-26T00:20,0.74,46
2021-08-26T00:20,1.17,47
2021-08-26T00:20,0.33,48
2021-08-26T00:20,1.34,62
2021-08-26T00:20,0.73,63
2021-08-26T00:20,6.59,74
2021-08-26T00:20,0.88,75
2021-08-26T00:20,0.76,76
2021-08-26T00:20,0.52,77
2021-08-26T00:20,6.58,78
2021-08-26T00:20,0.28,79
2021-08-26T00:20,0.81,80
2021-08-26T00:20,7.02,81
2021-08-26T00:20,6.64,82
2021-08-26T00:20,6.71,83
2021-08-26T00:20,0.26,121
2021-08-26T00:20,0.71,122
2021-08-26T00:20,0.09,124
2021-08-26T00:20,0.75,134
2021-08-26T00:20,0.06,135
2021-08-26T00:20,0.04,136
2021-08-26T00:20,0.94,137
2021-08-26T00:20,0.71,138
2021-08-26T00:20,0.03,139
2021-08-26T00:20,0.63,140
2021-08-26T00:20,0.64,141
2021-08-26T00:20,553.98,170
2021-08-26T00:20,459.02,171
2021-08-26T00:20,0.20,172
2021-08-26T00:20,0.92,174
2021-08-26T00:20,569.97,176
2021-08-26T00:20,1.03,179
2021-08-26T00:20,1.26,180
2021-08-26T00:20,1.03,1
2021-08-26T00:20,1.30,2
2021-08-26T00:20,0.80,3
2021-08-26T00:20,0.88,4
2021-08-26T00:20,0.64,5
2021-08-26T00:20,0.66,6
2021-08-26T00:20,4.06,7
2021-08-26T00:20,2.14,8
2021-08-26T00:20,0.51,9
2021-08-26T00:20,0.12,12
2021-08-26T00:20,0.44,13
2021-08-26T00:20,1.94,14
2021-08-26T00:20,2.64,15
2021-08-26T00:20,5.85,16
2021-08-26T00:20,6.52,17
2021-08-26T00:30,0.19,10
2021-08-26T00:30,0.49,64
2021-08-26T00:30,0.30,65
2021-08-26T00:30,0.17,66
2021-08-26T00:30,349.73,95
2021-08-26T00:30,0.01,158
2021-08-26T00:30,1.62,205
2021-08-26T00:30,0.91,206
2021-08-26T00:30,1.42,207
2021-08-26T00:30,0.93,208
2021-08-26T00:30,0.64,209
2021-08-26T00:30,1.34,210
2021-08-26T00:30,0.62,211
2021-08-26T00:30,0.92,212
2021-08-26T00:30,0.59,213
2021-08-26T00:30,0.02,215
2021-08-26T00:30,1.26,216
2021-08-26T00:30,3.56,217
2021-08-26T00:30,0.58,221
2021-08-26T00:30,1.15,88
2021-08-26T00:30,0.15,89
2021-08-26T00:30,0.64,90
2021-08-26T00:30,0.44,92
2021-08-26T00:30,0.85,93
2021-08-26T00:30,0.12,96
2021-08-26T00:30,0.00,97
2021-08-26T00:30,1.29,107
2021-08-26T00:30,0.25,108
2021-08-26T00:30,0.70,109
2021-08-26T00:30,1.12,110
2021-08-26T00:30,0.40,111
2021-08-26T00:30,0.75,134
2021-08-26T00:30,0.06,135
2021-08-26T00:30,0.04,136
2021-08-26T00:30,0.94,137
2021-08-26T00:30,0.71,138
2021-08-26T00:30,0.03,139
2021-08-26T00:30,0.64,140
2021-08-26T00:30,0.64,141
2021-08-26T00:30,1.04,150
2021-08-26T00:30,0.03,151
2021-08-26T00:30,0.92,152
2021-08-26T00:30,1.24,153
2021-08-26T00:30,2.04,154
2021-08-26T00:30,0.15,155
2021-08-26T00:30,0.82,156
2021-08-26T00:30,1.07,157
2021-08-26T00:30,1.04,1
2021-08-26T00:30,1.30,2
2021-08-26T00:30,0.80,3
2021-08-26T00:30,0.88,4
2021-08-26T00:30,0.64,5
2021-08-26T00:30,0.67,6
2021-08-26T00:30,4.06,7
2021-08-26T00:30,2.14,8
2021-08-26T00:30,0.51,9
2021-08-26T00:30,0.12,12
2021-08-26T00:30,0.44,13
2021-08-26T00:30,1.93,14
2021-08-26T00:30,2.64,15
2021-08-26T00:30,5.85,16
2021-08-26T00:30,6.52,17
2021-08-26T00:30,1.04,22
2021-08-26T00:30,0.22,23
2021-08-26T00:30,1.34,24
2021-08-26T00:30,0.49,25
2021-08-26T00:30,0.91,26
2021-08-26T00:30,0.55,27
2021-08-26T00:30,0.83,28
2021-08-26T00:30,0.26,43
2021-08-26T00:30,1.23,45
2021-08-26T00:30,0.74,46
2021-08-26T00:30,1.17,47
2021-08-26T00:30,0.33,48
2021-08-26T00:30,1.34,62
2021-08-26T00:30,0.72,63
2021-08-26T00:30,6.59,74
2021-08-26T00:30,0.88,75
2021-08-26T00:30,0.76,76
2021-08-26T00:30,0.52,77
2021-08-26T00:30,6.58,78
2021-08-26T00:30,0.28,79
2021-08-26T00:30,0.81,80
2021-08-26T00:30,7.02,81
2021-08-26T00:30,6.64,82
2021-08-26T00:30,6.70,83
2021-08-26T00:30,0.26,121
2021-08-26T00:30,0.71,122
2021-08-26T00:30,0.09,124
2021-08-26T00:30,553.97,170
2021-08-26T00:30,459.02,171
2021-08-26T00:30,0.20,172
2021-08-26T00:30,0.91,174
2021-08-26T00:30,569.98,176
2021-08-26T00:30,1.03,179
2021-08-26T00:30,1.26,180
2021-08-26T00:40,0.19,10
2021-08-26T00:40,0.50,64
2021-08-26T00:40,0.30,65
2021-08-26T00:40,0.17,66
2021-08-26T00:40,349.73,95
2021-08-26T00:40,0.01,158
2021-08-26T00:40,1.63,205
2021-08-26T00:40,0.91,206
2021-08-26T00:40,1.43,207
2021-08-26T00:40,0.93,208
2021-08-26T00:40,0.65,209
2021-08-26T00:40,1.34,210
2021-08-26T00:40,0.62,211
2021-08-26T00:40,0.92,212
2021-08-26T00:40,0.59,213
2021-08-26T00:40,0.02,215
2021-08-26T00:40,1.26,216
2021-08-26T00:40,3.56,217
2021-08-26T00:40,0.56,221
2021-08-26T00:40,6.59,74
2021-08-26T00:40,0.88,75
2021-08-26T00:40,0.76,76
2021-08-26T00:40,0.52,77
2021-08-26T00:40,6.58,78
2021-08-26T00:40,0.28,79
2021-08-26T00:40,0.81,80
2021-08-26T00:40,7.02,81
2021-08-26T00:40,6.64,82
2021-08-26T00:40,6.71,83
2021-08-26T00:40,1.15,88
2021-08-26T00:40,0.15,89
2021-08-26T00:40,0.64,90
2021-08-26T00:40,0.47,92
2021-08-26T00:40,0.85,93
2021-08-26T00:40,0.12,96
2021-08-26T00:40,0.00,97
2021-08-26T00:40,1.29,107
2021-08-26T00:40,0.25,108
2021-08-26T00:40,0.70,109
2021-08-26T00:40,1.11,110
2021-08-26T00:40,0.40,111
2021-08-26T00:40,0.26,121
2021-08-26T00:40,0.71,122
2021-08-26T00:40,0.09,124
2021-08-26T00:40,0.74,134
2021-08-26T00:40,0.06,135
2021-08-26T00:40,0.04,136
2021-08-26T00:40,0.94,137
2021-08-26T00:40,0.71,138
2021-08-26T00:40,0.03,139
2021-08-26T00:40,0.63,140
2021-08-26T00:40,0.64,141
2021-08-26T00:40,1.04,150
2021-08-26T00:40,0.03,151
2021-08-26T00:40,0.92,152
2021-08-26T00:40,1.24,153
2021-08-26T00:40,2.04,154
2021-08-26T00:40,0.16,155
2021-08-26T00:40,0.82,156
2021-08-26T00:40,1.07,157
2021-08-26T00:40,1.04,1
2021-08-26T00:40,1.30,2
2021-08-26T00:40,0.79,3
2021-08-26T00:40,0.88,4
2021-08-26T00:40,0.65,5
2021-08-26T00:40,0.68,6
2021-08-26T00:40,4.06,7
2021-08-26T00:40,2.14,8
2021-08-26T00:40,0.51,9
2021-08-26T00:40,0.12,12
2021-08-26T00:40,0.44,13
2021-08-26T00:40,1.93,14
2021-08-26T00:40,2.64,15
2021-08-26T00:40,5.85,16
2021-08-26T00:40,6.52,17
2021-08-26T00:40,1.03,22
2021-08-26T00:40,0.22,23
2021-08-26T00:40,1.33,24
2021-08-26T00:40,0.48,25
2021-08-26T00:40,0.91,26
2021-08-26T00:40,0.56,27
2021-08-26T00:40,0.85,28
2021-08-26T00:40,0.27,43
2021-08-26T00:40,1.23,45
2021-08-26T00:40,0.73,46
2021-08-26T00:40,1.17,47
2021-08-26T00:40,0.33,48
2021-08-26T00:40,1.34,62
2021-08-26T00:40,0.72,63
2021-08-26T00:40,553.98,170
2021-08-26T00:40,459.03,171
2021-08-26T00:40,0.20,172
2021-08-26T00:40,0.91,174
2021-08-26T00:40,569.98,176
2021-08-26T00:40,1.03,179
2021-08-26T00:40,1.26,180
2021-08-26T00:50,0.19,10
2021-08-26T00:50,0.50,64
2021-08-26T00:50,0.30,65
2021-08-26T00:50,0.17,66
2021-08-26T00:50,0.01,158
2021-08-26T00:50,1.14,88
2021-08-26T00:50,0.15,89
2021-08-26T00:50,0.64,90
2021-08-26T00:50,0.46,92
2021-08-26T00:50,0.85,93
2021-08-26T00:50,349.73,95
2021-08-26T00:50,0.12,96
2021-08-26T00:50,0.00,97
2021-08-26T00:50,1.29,107
2021-08-26T00:50,0.25,108
2021-08-26T00:50,0.70,109
2021-08-26T00:50,1.12,110
2021-08-26T00:50,0.40,111
2021-08-26T00:50,1.63,205
2021-08-26T00:50,0.91,206
2021-08-26T00:50,1.43,207
2021-08-26T00:50,0.93,208
2021-08-26T00:50,0.65,209
2021-08-26T00:50,1.34,210
2021-08-26T00:50,0.63,211
2021-08-26T00:50,0.92,212
2021-08-26T00:50,0.61,213
2021-08-26T00:50,0.02,215
2021-08-26T00:50,1.26,216
2021-08-26T00:50,3.56,217
2021-08-26T00:50,0.57,221
2021-08-26T00:50,6.59,74
2021-08-26T00:50,0.89,75
2021-08-26T00:50,0.76,76
2021-08-26T00:50,0.52,77
2021-08-26T00:50,6.58,78
2021-08-26T00:50,0.28,79
2021-08-26T00:50,0.81,80
2021-08-26T00:50,7.02,81
2021-08-26T00:50,6.64,82
2021-08-26T00:50,6.70,83
2021-08-26T00:50,0.26,121
2021-08-26T00:50,0.71,122
2021-08-26T00:50,0.08,124
2021-08-26T00:50,0.74,134
2021-08-26T00:50,0.06,135
2021-08-26T00:50,0.04,136
2021-08-26T00:50,0.94,137
2021-08-26T00:50,0.71,138
2021-08-26T00:50,0.03,139
2021-08-26T00:50,0.61,140
2021-08-26T00:50,0.64,141
2021-08-26T00:50,1.04,150
2021-08-26T00:50,0.03,151
2021-08-26T00:50,0.92,152
2021-08-26T00:50,1.24,153
2021-08-26T00:50,2.04,154
2021-08-26T00:50,0.18,155
2021-08-26T00:50,0.82,156
2021-08-26T00:50,1.07,157
