日時,河川水位,id
2024-11-13T00:20,1.27,1
2024-11-13T00:20,1.02,2
2024-11-13T00:20,0.60,3
2024-11-13T00:20,0.66,4
2024-11-13T00:20,0.54,5
2024-11-13T00:20,0.59,6
2024-11-13T00:20,4.06,7
2024-11-13T00:20,2.00,8
2024-11-13T00:20,0.23,9
2024-11-13T00:20,0.09,10
2024-11-13T00:20,0.03,12
2024-11-13T00:20,0.42,13
2024-11-13T00:20,1.90,14
2024-11-13T00:20,2.25,15
2024-11-13T00:20,5.40,16
2024-11-13T00:20,6.47,17
2024-11-13T00:20,0.87,22
2024-11-13T00:20,0.14,23
2024-11-13T00:20,0.84,24
2024-11-13T00:20,0.41,25
2024-11-13T00:20,0.55,26
2024-11-13T00:20,0.48,27
2024-11-13T00:20,0.69,28
2024-11-12T24:00,0.42,29
2024-11-12T24:00,0.67,30
2024-11-12T24:00,0.75,31
2024-11-12T24:00,0.68,32
2024-11-13T00:20,0.00,43
2024-11-13T00:20,1.03,45
2024-11-13T00:20,0.21,46
2024-11-13T00:20,1.02,47
2024-11-13T00:20,0.39,48
2024-11-12T24:00,4.59,49
2024-11-12T24:00,1.04,51
2024-11-13T00:20,0.77,62
2024-11-13T00:20,0.39,63
2024-11-13T00:20,0.23,64
2024-11-13T00:20,0.10,65
2024-11-13T00:20,0.09,66
2024-11-13T00:20,6.49,74
2024-11-13T00:20,0.24,75
2024-11-13T00:20,0.54,76
2024-11-13T00:20,0.30,77
2024-11-13T00:20,6.48,78
2024-11-13T00:20,0.23,79
2024-11-13T00:20,0.68,80
2024-11-13T00:20,6.87,81
2024-11-13T00:20,6.65,82
2024-11-13T00:20,6.70,83
2024-11-13T00:20,0.60,88
2024-11-13T00:20,0.22,89
2024-11-13T00:20,0.50,90
2024-11-13T00:20,0.28,91
2024-11-13T00:20,0.20,92
2024-11-13T00:20,0.37,93
2024-11-13T00:20,349.77,95
2024-11-13T00:20,0.19,96
2024-11-13T00:20,0.63,97
2024-11-13T00:20,1.27,107
2024-11-13T00:20,0.20,108
2024-11-13T00:20,0.65,109
2024-11-13T00:20,1.20,110
2024-11-13T00:20,0.41,111
2024-11-13T00:20,0.48,121
2024-11-13T00:20,0.49,122
2024-11-13T00:20,0.01,124
2024-11-13T00:20,0.56,134
2024-11-13T00:20,0.14,135
2024-11-13T00:20,0.18,136
2024-11-13T00:20,0.63,137
2024-11-13T00:20,0.44,138
2024-11-13T00:20,0.05,139
2024-11-13T00:20,0.55,140
2024-11-13T00:20,0.32,141
2024-11-13T00:20,1.18,150
2024-11-13T00:20,0.01,151
2024-11-13T00:20,1.05,152
2024-11-13T00:20,1.25,153
2024-11-13T00:20,1.83,154
2024-11-13T00:20,0.15,155
2024-11-13T00:20,0.82,156
2024-11-13T00:20,1.29,157
2024-11-13T00:20,0.04,158
2024-11-13T00:20,552.73,170
2024-11-13T00:20,459.02,171
2024-11-13T00:20,0.04,172
2024-11-13T00:20,0.91,174
2024-11-13T00:20,569.06,176
2024-11-13T00:20,1.04,179
2024-11-13T00:20,1.00,180
2024-11-13T00:20,2.48,205
2024-11-13T00:20,0.52,206
2024-11-13T00:20,1.32,207
2024-11-13T00:20,1.32,208
2024-11-13T00:20,0.51,209
2024-11-13T00:20,1.68,210
2024-11-13T00:20,0.50,211
2024-11-13T00:20,0.70,212
2024-11-13T00:20,0.51,213
2024-11-13T00:20,0.21,215
2024-11-13T00:20,1.23,216
2024-11-13T00:20,3.33,217
2024-11-13T00:20,0.51,221
2024-11-12T24:00,0.13,251
2024-11-12T24:00,0.44,252
2024-11-13T01:30,1.26,1
2024-11-13T01:30,1.03,2
2024-11-13T01:30,0.58,3
2024-11-13T01:30,0.65,4
2024-11-13T01:30,0.53,5
2024-11-13T01:30,0.59,6
2024-11-13T01:30,4.06,7
2024-11-13T01:30,2.00,8
2024-11-13T01:30,0.23,9
2024-11-13T01:30,0.09,10
2024-11-13T01:30,0.01,12
2024-11-13T01:30,0.42,13
2024-11-13T01:30,1.97,14
2024-11-13T01:30,2.25,15
2024-11-13T01:30,5.40,16
2024-11-13T01:30,6.47,17
2024-11-13T01:30,0.87,22
2024-11-13T01:30,0.14,23
2024-11-13T01:30,0.84,24
2024-11-13T01:30,0.42,25
2024-11-13T01:30,0.55,26
2024-11-13T01:30,0.47,27
2024-11-13T01:30,0.65,28
2024-11-13T01:00,0.42,29
2024-11-13T01:00,0.67,30
2024-11-13T01:00,0.75,31
2024-11-13T01:00,0.68,32
2024-11-13T01:30,0.00,43
2024-11-13T01:30,1.03,45
2024-11-13T01:30,0.21,46
2024-11-13T01:30,1.02,47
2024-11-13T01:30,0.39,48
2024-11-13T01:00,4.59,49
2024-11-13T01:00,1.04,51
