日時,河川水位,id
2023-08-30T00:10,1.33,1
2023-08-30T00:10,1.38,2
2023-08-30T00:10,0.61,3
2023-08-30T00:10,0.64,4
2023-08-30T00:10,0.57,5
2023-08-30T00:10,0.62,6
2023-08-30T00:10,4.01,7
2023-08-30T00:10,2.05,8
2023-08-30T00:10,0.23,9
2023-08-30T00:20,0.08,10
2023-08-30T00:10,0.03,12
2023-08-30T00:10,0.47,13
2023-08-30T00:10,1.89,14
2023-08-30T00:10,2.63,15
2023-08-30T00:10,6.00,16
2023-08-30T00:10,6.67,17
2023-08-30T00:10,1.02,22
2023-08-30T00:10,0.30,23
2023-08-30T00:10,1.00,24
2023-08-30T00:10,0.29,25
2023-08-30T00:10,0.67,26
2023-08-30T00:10,0.50,27
2023-08-29T24:00,,28
2023-08-29T24:00,0.49,29
2023-08-29T24:00,0.61,30
2023-08-29T24:00,0.52,31
2023-08-29T24:00,0.74,32
2023-08-30T00:10,0.00,43
2023-08-30T00:10,1.02,45
2023-08-30T00:10,0.49,46
2023-08-30T00:10,1.04,47
2023-08-30T00:10,0.34,48
2023-08-29T24:00,4.57,49
2023-08-29T24:00,1.21,51
2023-08-30T00:10,0.93,62
2023-08-30T00:10,0.37,63
2023-08-30T00:20,0.25,64
2023-08-30T00:20,0.11,65
2023-08-30T00:20,0.10,66
2023-08-30T00:10,6.53,74
2023-08-30T00:10,0.37,75
2023-08-30T00:10,0.59,76
2023-08-30T00:10,0.21,77
2023-08-30T00:10,6.47,78
2023-08-30T00:10,0.24,79
2023-08-30T00:10,0.58,80
2023-08-30T00:10,6.95,81
2023-08-30T00:10,6.67,82
2023-08-30T00:10,6.72,83
2023-08-30T00:20,0.45,88
2023-08-30T00:20,0.17,89
2023-08-30T00:20,0.47,90
2023-08-30T00:20,0.01,91
2023-08-30T00:20,0.14,92
2023-08-30T00:20,0.44,93
2023-08-30T00:20,349.76,95
2023-08-30T00:20,0.15,96
2023-08-30T00:20,0.86,97
2023-08-30T00:20,1.27,107
2023-08-30T00:20,0.16,108
2023-08-30T00:20,0.67,109
2023-08-30T00:20,1.14,110
2023-08-30T00:20,0.42,111
2023-08-30T00:10,0.39,121
2023-08-30T00:10,0.31,122
2023-08-30T00:10,0.02,124
