日時,河川水位,id
2024-04-28T00:10,1.24,1
2024-04-28T00:10,1.25,2
2024-04-28T00:10,0.51,3
2024-04-28T00:10,0.66,4
2024-04-28T00:10,0.52,5
2024-04-28T00:10,0.57,6
2024-04-28T00:10,4.10,7
2024-04-28T00:10,2.06,8
2024-04-28T00:10,0.27,9
2024-04-28T00:20,0.13,10
2024-04-28T00:10,0.01,12
2024-04-28T00:10,0.55,13
2024-04-28T00:10,2.01,14
2024-04-28T00:10,2.25,15
2024-04-28T00:10,5.72,16
2024-04-28T00:10,6.54,17
2024-04-28T00:10,0.91,22
2024-04-28T00:10,0.20,23
2024-04-28T00:10,1.05,24
2024-04-28T00:10,0.37,25
2024-04-28T00:10,0.61,26
2024-04-28T00:10,0.07,27
2024-04-28T00:10,0.33,28
2024-04-27T24:00,0.74,29
2024-04-27T24:00,0.68,30
2024-04-27T24:00,0.74,31
2024-04-27T24:00,0.80,32
2024-04-28T00:10,0.00,43
2024-04-28T00:10,1.13,45
2024-04-28T00:10,0.60,46
2024-04-28T00:10,1.05,47
2024-04-28T00:10,0.50,48
2024-04-27T24:00,4.61,49
2024-04-27T24:00,1.15,51
2024-04-28T00:10,0.82,62
2024-04-28T00:10,0.41,63
2024-04-28T00:20,0.30,64
2024-04-28T00:20,0.15,65
2024-04-28T00:20,0.11,66
2024-04-28T00:10,6.49,74
2024-04-28T00:10,0.20,75
2024-04-28T00:10,0.67,76
2024-04-28T00:10,0.22,77
2024-04-28T00:10,6.47,78
2024-04-28T00:10,0.26,79
2024-04-28T00:10,0.63,80
2024-04-28T00:10,7.06,81
2024-04-28T00:10,6.70,82
2024-04-28T00:10,6.75,83
2024-04-28T00:10,0.55,88
2024-04-28T00:10,0.22,89
2024-04-28T00:10,0.53,90
2024-04-28T00:10,0.12,91
2024-04-28T00:10,0.17,92
2024-04-28T00:10,0.38,93
2024-04-28T00:10,349.76,95
2024-04-28T00:10,0.12,96
2024-04-28T00:10,0.44,97
2024-04-28T00:10,1.26,107
2024-04-28T00:10,0.20,108
2024-04-28T00:10,0.66,109
2024-04-28T00:10,1.21,110
2024-04-28T00:10,0.43,111
2024-04-28T00:10,0.51,121
2024-04-28T00:10,0.55,122
2024-04-28T00:10,0.72,124
2024-04-28T00:10,0.29,134
2024-04-28T00:10,0.06,135
2024-04-28T00:10,0.13,136
2024-04-28T00:10,0.70,137
2024-04-28T00:10,0.34,138
2024-04-28T00:10,0.07,139
2024-04-28T00:10,0.38,140
2024-04-28T00:10,0.23,141
2024-04-28T00:10,1.03,150
2024-04-28T00:10,0.11,151
2024-04-28T00:10,0.88,152
2024-04-28T00:10,1.18,153
2024-04-28T00:10,1.84,154
2024-04-28T00:10,0.26,155
2024-04-28T00:10,0.82,156
2024-04-28T00:10,1.03,157
2024-04-28T00:20,0.05,158
2024-04-27T24:00,549.87,170
2024-04-27T24:00,458.35,171
2024-04-27T24:00,0.00,172
2024-04-27T24:00,0.99,174
2024-04-27T24:00,569.17,176
2024-04-27T24:00,0.97,179
2024-04-27T24:00,1.16,180
2024-04-28T00:10,2.29,205
2024-04-28T00:10,0.18,206
2024-04-28T00:10,0.97,207
2024-04-28T00:10,1.26,208
2024-04-28T00:10,0.18,209
2024-04-27T24:00,,210
2024-04-28T00:10,0.11,211
2024-04-28T00:10,0.43,212
2024-04-28T00:10,0.29,213
2024-04-28T00:10,0.08,215
2024-04-28T00:10,1.24,216
2024-04-28T00:10,3.26,217
2024-04-28T00:10,0.10,221
2024-04-27T24:00,0.17,251
2024-04-27T24:00,0.54,252
2024-04-28T01:20,1.24,1
2024-04-28T01:20,1.24,2
2024-04-28T01:20,0.51,3
2024-04-28T01:20,0.66,4
2024-04-28T01:20,0.53,5
2024-04-28T01:20,0.57,6
2024-04-28T01:20,4.10,7
2024-04-28T01:20,2.06,8
2024-04-28T01:20,0.27,9
2024-04-28T01:20,0.13,10
2024-04-28T01:20,0.01,12
2024-04-28T01:20,0.55,13
2024-04-28T01:20,2.02,14
2024-04-28T01:20,2.25,15
2024-04-28T01:20,5.72,16
2024-04-28T01:20,6.54,17
2024-04-28T01:20,0.91,22
2024-04-28T01:20,0.19,23
2024-04-28T01:20,1.05,24
2024-04-28T01:20,0.38,25
2024-04-28T01:20,0.60,26
2024-04-28T01:20,0.13,27
2024-04-28T01:20,0.35,28
2024-04-28T01:00,0.73,29
2024-04-28T01:00,0.68,30
2024-04-28T01:00,0.74,31
2024-04-28T01:00,0.79,32
2024-04-28T01:20,0.00,43
2024-04-28T01:20,1.13,45
2024-04-28T01:20,0.60,46
2024-04-28T01:20,1.05,47
2024-04-28T01:20,0.50,48
