id,観測所名,河川名,日時,河川水位,水防団待機水位(通報水位),はん濫注意水位(警戒水位),避難判断水位(特別警戒水位),はん濫危険水位(危険水位),警報状態,geo3x3
90,上太田,吉野瀬川,2021-08-14T08:20,2.84,2.00,2.40,2.70,3.20,避難判断水位超過,E9138498728328
91,家久(鯖江),日野川,2021-08-14T08:00,*,2.00,2.50,-,4.00,欠測,E9138732246218
92,聖橋,日野川,2021-08-14T08:20,1.52,2.10,3.30,4.20,4.80,通常,E9138495915264
93,今庄,日野川,2021-08-14T08:20,1.31,1.30,1.80,-,2.80,水防団待機水位超過,E9138495343875
95,二ツ屋,日野川,2021-08-14T08:20,349.81,-,-,-,-,通常,E9138493616578
96,岩谷,日野川,2021-08-14T08:20,0.66,-,-,-,-,通常,E9138493288141
97,家久（吉野瀬川）,吉野瀬川,2021-08-14T08:20,1.02,1.10,1.90,-,2.70,通常,E9138732212834
107,稲荷,足羽川,2021-08-14T08:20,2.28,2.50,2.90,3.50,3.80,通常,E9138577582959
108,粟田部,鞍谷川,2021-08-14T08:20,1.29,1.30,1.80,2.10,2.70,通常,E9138499791288
109,河内,足羽川,2021-08-14T08:20,0.35,-,-,-,-,通常,E9138575741916
110,新保,魚見川,2021-08-14T08:20,2.00,1.70,3.00,-,4.40,水防団待機水位超過,E9138577146848
111,東庄境,服部川,2021-08-14T08:20,1.42,1.10,1.50,-,2.20,水防団待機水位超過,E9138733245894
121,宝泉寺,天王川,2021-08-14T08:20,3.13,2.00,3.00,3.50,4.20,はん濫注意水位超過,E9138731925388
122,近田橋(気比庄),和田川,2021-08-14T08:20,3.27,2.00,3.00,-,4.00,はん濫注意水位超過,E9138731696938
124,江波,天王川,2021-08-14T08:20,1.94,1.00,1.40,-,2.00,はん濫注意水位超過,E9138731186563
134,呉竹,笙の川,2021-08-14T08:20,1.33,1.00,1.70,2.10,2.50,水防団待機水位超過,E9138467446878
135,堂,笙の川,2021-08-14T08:20,0.46,2.00,3.00,-,4.00,通常,E9138467182622
136,野神,笙の川,2021-08-14T08:20,0.75,2.00,2.70,-,3.50,通常,E9138467412837
137,河原市,耳川,2021-08-14T08:20,1.26,1.80,2.20,3.40,3.60,通常,E9138455898495
138,鳥浜,はす川,2021-08-14T08:20,0.75,1.00,1.20,1.60,2.00,通常,E9138455413812
139,木の芽,木の芽川,2021-08-14T08:20,0.41,-,-,-,-,通常,E9138467581723
140,四石橋,井の口川,2021-08-14T08:20,0.82,1.00,1.70,2.10,2.50,通常,E9138459655352
141,三方湖,三方湖,2021-08-14T08:20,0.65,0.70,1.00,-,1.30,通常,E9138454645891
150,中井,南川,2021-08-14T08:20,1.54,1.80,3.20,-,5.10,通常,E9138442328111
151,和久里,南川,2021-08-14T08:20,0.24,1.90,4.10,4.40,4.70,通常,E9138443466964
152,小倉,南川,2021-08-14T08:20,1.57,2.10,3.70,-,4.40,通常,E9138418436416
153,和多田,南川,2021-08-14T08:20,1.97,2.10,4.50,-,7.70,通常,E9138418813848
154,遠敷,遠敷川,2021-08-14T08:20,2.23,2.50,3.30,3.50,4.10,通常,E9138443536661
155,本郷,佐分利川,2021-08-14T08:20,0.30,1.40,2.10,2.50,3.20,通常,E9138441296991
156,四分一,松永川,2021-08-14T08:20,1.52,1.90,2.40,-,3.30,通常,E9138443367524
157,小和田,関屋川,2021-08-14T08:20,1.88,1.60,2.20,2.50,2.80,水防団待機水位超過,E9137663453899
158,山田,大津呂川,2021-08-14T08:20,0.13,-,-,-,-,通常,E9138441327123
170,箱ヶ瀬-(国),九頭竜川,2021-08-14T08:20,552.30,-,-,-,-,通常,E9138589523974
171,山原-(国),石徹白川,2021-08-14T08:20,462.65,-,-,-,-,通常,E9138588889947
172,五条方下流-(国),真名川,2021-08-14T08:20,1.47,-,-,-,-,通常,E9138821149843
174,朝日-(国),九頭竜川,2021-08-14T08:20,3.35,-,-,-,-,通常,E9138588852742
176,石徹白-(国),石徹白川,2021-08-14T08:20,571.52,-,-,-,-,通常,E9138823423344
179,中島-(国),真名川,2021-08-14T08:20,1.93,-,-,-,-,通常,E9138579553641
180,麻生島-(国),真名川,2021-08-14T08:20,2.30,-,-,-,-,通常,E9138813869668
205,五松橋-(国),九頭竜川,2021-08-14T08:20,0.53,1.50,2.50,-,-,通常,E9138739393727
206,中角-(国),九頭竜川,2021-08-14T08:20,3.82,5.00,7.50,8.50,9.10,通常,E9138738389641
207,高屋-(国),九頭竜川,2021-08-14T08:20,3.86,3.90,5.90,-,-,通常,E9138738534888
208,三尾野-(国),日野川,2021-08-14T08:20,3.43,3.50,5.50,6.50,7.00,通常,E9138735139662
209,久喜津-(国),日野川,2021-08-14T08:20,4.38,5.50,7.70,-,-,通常,E9138735575864
210,天神橋-(国),足羽川,2021-08-14T08:20,0.92,-,-,-,-,通常,E9138736382923
211,深谷-(国),日野川,2021-08-14T08:20,3.43,4.00,6.00,6.90,7.50,通常,E9138738237558
212,布施田-(国),九頭竜川,2021-08-14T08:20,2.28,3.50,5.00,-,-,通常,E9138738766754
213,三国-(国),九頭竜川,2021-08-14T08:20,0.83,0.90,1.60,-,-,通常,E9138762476242
215,天徳寺-(国),北川,2021-08-14T08:20,1.05,-,-,-,-,通常,E9138451286239
216,新道-(国),北川,2021-08-14T08:20,1.72,-,-,-,-,通常,E9138452112297
217,高塚-(国),北川,2021-08-14T08:20,4.34,5.20,6.80,7.00,7.70,通常,E9138443592468
221,西津-(国),北川,2021-08-14T08:20,0.59,-,-,-,-,通常,E9138443729596
